corpus	max topics			topics probabilities	
meet_74   [6, 2, 3, 8, 9]		[0.79873514, 0.18286325, 0.01804717, 5.06458e-05, 5.064545e-05]
meet_75   [6, 2, 8, 0, 9]		[0.4192225, 0.32279286, 0.24355099, 0.013888133, 9.0935144e-05]
meet_76   [4, 9, 3, 2, 6]		[0.5793635, 0.22802688, 0.14046991, 0.03824906, 0.0132852215]
meet_77   [3, 6, 4, 2, 0]		[0.6402616, 0.35920212, 6.7041925e-05, 6.704121e-05, 6.704101e-05]
meet_78   [6, 2, 4, 3, 0]		[0.7090727, 0.17376976, 0.105301164, 0.011467712, 6.478302e-05]
meet_79   [6, 8, 2, 9, 0]		[0.40242845, 0.3122628, 0.2738186, 0.007056987, 0.004118831]
meet_80   [6, 9, 3, 4, 2]		[0.6832729, 0.283922, 0.02098589, 0.011233752, 9.758618e-05]
meet_81   [3, 6, 8, 0, 2]		[0.58318853, 0.41642118, 4.8794092e-05, 4.8793612e-05, 4.8792957e-05]
meet_82   [6, 2, 3, 9, 8]		[0.8523786, 0.12578721, 0.021522297, 4.4556517e-05, 4.455466e-05]
meet_83   [6, 8, 2, 3, 0]		[0.36997038, 0.3380743, 0.2122539, 0.07898877, 0.00011879845]
meet_84   [9, 3, 1, 4, 6]		[0.681946, 0.11067179, 0.08473004, 0.069835536, 0.051931467]
meet_85   [3, 6, 9, 5, 4]		[0.49368313, 0.34941372, 0.12641749, 0.015596726, 0.014614452]
meet_86   [6, 2, 5, 3, 8]		[0.654726, 0.23330231, 0.07514428, 0.030248571, 0.0063477904]
meet_87   [2, 8, 6, 5, 9]		[0.41474625, 0.31600338, 0.26881388, 6.2365e-05, 6.236058e-05]
meet_88   [9, 4, 6, 3, 0]		[0.3766472, 0.28589278, 0.23907699, 0.084534936, 0.013253496]
meet_89   [3, 6, 0, 8, 2]		[0.5019026, 0.38058618, 0.117201895, 4.4200737e-05, 4.4200213e-05]
meet_90   [6, 2, 0, 4, 3]		[0.767175, 0.14594378, 0.03746831, 0.033038836, 0.016159547]
meet_91   [0, 2, 6, 3, 9]		[0.7122556, 0.27555022, 0.011947945, 3.6432135e-05, 3.497424e-05]
meet_92   [4, 9, 6, 3, 8]		[0.61995906, 0.36160555, 0.017644292, 0.00011302578, 0.00011302554]
meet_93   [3, 6, 8, 0, 4]		[0.6347893, 0.36078584, 0.004140102, 4.0678646e-05, 4.0678555e-05]
meet_94   [6, 8, 3, 2, 9]		[0.6935859, 0.10411234, 0.09931251, 0.09273687, 0.01001315]
meet_95   [2, 6, 0, 8, 3]		[0.4305053, 0.23702827, 0.13972491, 0.09739094, 0.09510302]
meet_96   [6, 9, 2, 3, 8]		[0.71083045, 0.26881954, 0.013111984, 0.0066798036, 9.30518e-05]
meet_97   [3, 6, 0, 2, 9]		[0.55400443, 0.4455633, 5.404046e-05, 5.4039017e-05, 5.4038894e-05]
meet_98   [6, 3, 2, 9, 4]		[0.6796576, 0.22938493, 0.09056961, 5.5416895e-05, 5.5416094e-05]
meet_99   [2, 6, 8, 3, 0]		[0.46554506, 0.40361518, 0.12107892, 0.009318956, 7.3658855e-05]
meet_112   [9, 0, 3, 6, 2]		[0.9507551, 0.04843663, 0.000101038066, 0.00010103776, 0.000101036254]
meet_113   [3, 2, 6, 0, 9]		[0.9726049, 0.02005825, 0.006939297, 5.6802517e-05, 5.6800396e-05]
meet_114   [2, 3, 6, 9, 0]		[0.4624657, 0.3373615, 0.10723111, 0.09255971, 6.366909e-05]
meet_115   [2, 3, 9, 8, 0]		[0.5220962, 0.29831478, 0.12505095, 0.0542151, 5.383738e-05]
meet_116   [9, 3, 2, 6, 1]		[0.6514644, 0.21997622, 0.08480849, 0.043105625, 0.00010756135]
meet_117   [3, 2, 9, 6, 0]		[0.8400584, 0.122522, 0.037080072, 4.8508573e-05, 4.8507536e-05]
